url_path,views_total,views_unique
/CSAFE-ISU/shoeprintr,17,7
/CSAFE-ISU/shoeprintr/tree/master/data,16,3
/CSAFE-ISU/shoeprintr/blob/master/README.md,15,2
/CSAFE-ISU/shoeprintr/tree/master/R,14,1
/CSAFE-ISU/shoeprintr/tree/master/inst/bin,12,2
/CSAFE-ISU/shoeprintr/tree/master/inst/bin/mac64,9,2
/CSAFE-ISU/shoeprintr/blob/master/R/functions.R,8,1
/CSAFE-ISU/shoeprintr/tree/master/man,8,1
/CSAFE-ISU/shoeprintr/blob/master/data/input_example.rda,4,2
/CSAFE-ISU/shoeprintr/blob/master/shoeprintr.Rproj,4,2
