url_path,views_total,views_unique
/CSAFE-ISU/shoeprintr,11,7
/CSAFE-ISU/shoeprintr/tree/master/data,7,3
/CSAFE-ISU/shoeprintr/blob/master/data/input_example.rda,4,3
/CSAFE-ISU/shoeprintr/tree/master/man,4,2
/CSAFE-ISU/shoeprintr/blob/master/DESCRIPTION,2,2
/CSAFE-ISU/shoeprintr/tree/master/R,2,1
/CSAFE-ISU/shoeprintr/blob/master/man/match_print.Rd,1,1
/CSAFE-ISU/shoeprintr/blob/master/NAMESPACE,1,1
/CSAFE-ISU/shoeprintr/blob/master/README.md,1,1
/CSAFE-ISU/shoeprintr/blob/master/R/functions.R,1,1
