url_path,views_total,views_unique
/CSAFE-ISU/shoeprintr,5,4
/CSAFE-ISU/shoeprintr/blob/master/data/input_example.rda,2,1
/CSAFE-ISU/shoeprintr/tree/master/data,2,1
/CSAFE-ISU/shoeprintr/blob/master/BinaryFiles,1,1
/CSAFE-ISU/shoeprintr/blob/master/data/reference_example.rda,1,1
/CSAFE-ISU/shoeprintr/blob/master/DESCRIPTION,1,1
/CSAFE-ISU/shoeprintr/blob/master/NAMESPACE,1,1
/CSAFE-ISU/shoeprintr/blob/master/README.md,1,1
/CSAFE-ISU/shoeprintr/blob/master/R/functions.R,1,1
/CSAFE-ISU/shoeprintr/blob/master/shoeprintr.Rproj,1,1
