time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-13 00:00:00+00:00,1.0,1.0,2,1
2023-09-14 00:00:00+00:00,,,4,2
2023-09-15 00:00:00+00:00,,,33,1
2023-09-16 00:00:00+00:00,1.0,1.0,1,1
2023-09-18 00:00:00+00:00,,,9,1
2023-09-21 00:00:00+00:00,,,1,1
2023-09-22 00:00:00+00:00,,,7,1
2023-09-24 00:00:00+00:00,,,1,1
2023-09-25 00:00:00+00:00,,,3,1
2023-09-26 00:00:00+00:00,,,4,1
