url_path,views_total,views_unique
/CSAFE-ISU/shoeprintr,12,8
/CSAFE-ISU/shoeprintr/blob/269e99f3383ab33869f4d6394d1d17b867e67620/README.md,10,1
/CSAFE-ISU/shoeprintr/tree/master/R,5,2
/CSAFE-ISU/shoeprintr/tree/master/man,3,1
/CSAFE-ISU/shoeprintr/blob/269e99f3383ab33869f4d6394d1d17b867e67620/inst/bin/win64/pmc.exe,2,1
/CSAFE-ISU/shoeprintr/blob/269e99f3383ab33869f4d6394d1d17b867e67620/R/functions.R,2,1
/CSAFE-ISU/shoeprintr/blob/master/inst/bin/win64/pmc.exe,2,1
/CSAFE-ISU/shoeprintr/branches,2,1
/CSAFE-ISU/shoeprintr/tree/269e99f3383ab33869f4d6394d1d17b867e67620/inst,2,1
/CSAFE-ISU/shoeprintr/tree/269e99f3383ab33869f4d6394d1d17b867e67620/inst/bin,2,1
