time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-12 00:00:00+00:00,544,6,2,2
2026-03-13 00:00:00+00:00,3,3,4,4
2026-03-14 00:00:00+00:00,0,0,1,1
2026-03-15 00:00:00+00:00,272,2,1,1
2026-03-16 00:00:00+00:00,2,2,1,1
2026-03-17 00:00:00+00:00,1,1,5,4
2026-03-18 00:00:00+00:00,1,1,11,6
2026-03-19 00:00:00+00:00,0,0,8,3
2026-03-20 00:00:00+00:00,0,0,5,3
2026-03-21 00:00:00+00:00,0,0,9,4
2026-03-22 00:00:00+00:00,0,0,3,2
2026-03-23 00:00:00+00:00,0,0,26,4
2026-03-24 00:00:00+00:00,0,0,7,4
2026-03-25 00:00:00+00:00,0,0,2,2
