url_path,views_total,views_unique
/CSAFE-ISU/handwriter,53,24
/CSAFE-ISU/handwriter/tree/master/tools,11,2
/CSAFE-ISU/handwriter/issues,10,4
/CSAFE-ISU/handwriter/deployments/github-pages,10,1
/CSAFE-ISU/handwriter/tree/master/examples/example_template/data/model_docs,8,1
/CSAFE-ISU/handwriter/tree/master,7,1
/CSAFE-ISU/handwriter/tree/master/inst,7,1
/CSAFE-ISU/handwriter/branches,6,2
/CSAFE-ISU/handwriter/blob/master/cran-comments.md,6,1
/CSAFE-ISU/handwriter/blame/master/cran-comments.md,5,1
