time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-29 00:00:00+00:00,,,7,5
2024-03-01 00:00:00+00:00,,,10,5
2024-03-02 00:00:00+00:00,,,105,5
2024-03-03 00:00:00+00:00,,,76,2
2024-03-04 00:00:00+00:00,2.0,1.0,6,5
2024-03-05 00:00:00+00:00,,,14,8
2024-03-06 00:00:00+00:00,1.0,1.0,70,7
2024-03-07 00:00:00+00:00,14.0,11.0,146,9
2024-03-08 00:00:00+00:00,17.0,11.0,44,7
2024-03-09 00:00:00+00:00,,,12,2
2024-03-10 00:00:00+00:00,2.0,2.0,11,4
2024-03-11 00:00:00+00:00,2.0,1.0,41,6
2024-03-12 00:00:00+00:00,,,157,8
2024-03-13 00:00:00+00:00,1.0,1.0,25,3
