time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-24 00:00:00+00:00,16.0,9.0,51.0,4.0
2024-05-25 00:00:00+00:00,,,8.0,1.0
2024-05-26 00:00:00+00:00,1.0,1.0,,
2024-05-27 00:00:00+00:00,,,3.0,3.0
2024-05-28 00:00:00+00:00,,,9.0,4.0
2024-05-29 00:00:00+00:00,1.0,1.0,57.0,5.0
2024-05-30 00:00:00+00:00,1.0,1.0,11.0,4.0
2024-05-31 00:00:00+00:00,11.0,6.0,10.0,1.0
2024-06-01 00:00:00+00:00,1.0,1.0,15.0,2.0
2024-06-02 00:00:00+00:00,,,7.0,1.0
2024-06-03 00:00:00+00:00,3.0,2.0,,
2024-06-04 00:00:00+00:00,1.0,1.0,1.0,1.0
2024-06-05 00:00:00+00:00,,,1.0,1.0
2024-06-06 00:00:00+00:00,18.0,8.0,77.0,2.0
