referrer,views_total,views_unique
csafe-isu.github.io,11,3
github.com,5,2
cran.r-project.org,4,2
Google,3,3
nist.gov,2,1
youtube.com,1,1
DuckDuckGo,1,1
forensicstats.org,1,1
