url_path,views_total,views_unique
/CSAFE-ISU/handwriter,34,13
/CSAFE-ISU/handwriter/tree/master/R,9,3
/CSAFE-ISU/handwriter/tree/e40831f68b2ea9e79bcf71a3234d04583497a661/inst/python,8,1
/CSAFE-ISU/handwriter/commits/master,7,2
/CSAFE-ISU/handwriter/tree/1b2167ace9fcd60d79d3cf334cd106b0aaf73464/inst/python,6,1
/CSAFE-ISU/handwriter/tree/master/inst/python,6,1
/CSAFE-ISU/handwriter/issues,5,1
/CSAFE-ISU/handwriter/tree/e40831f68b2ea9e79bcf71a3234d04583497a661/inst,5,1
/CSAFE-ISU/handwriter/tree/0fba31a9f3a80ec0a81a4fde9b13519f7b158e89/inst,4,1
/CSAFE-ISU/handwriter/tree/87fd04c19360e4cda456e980fee3d3d2d59fda06/inst,4,1
