time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-18 00:00:00+00:00,7.0,5.0,44,32
2024-06-19 00:00:00+00:00,1.0,1.0,30,23
2024-06-20 00:00:00+00:00,,,45,23
2024-06-21 00:00:00+00:00,,,20,16
2024-06-22 00:00:00+00:00,1.0,1.0,5,5
2024-06-23 00:00:00+00:00,,,3,3
2024-06-24 00:00:00+00:00,,,3,3
2024-06-25 00:00:00+00:00,,,16,5
2024-06-26 00:00:00+00:00,4.0,2.0,22,6
2024-06-27 00:00:00+00:00,,,33,3
2024-06-28 00:00:00+00:00,10.0,2.0,37,5
2024-06-29 00:00:00+00:00,1.0,1.0,1,1
2024-06-30 00:00:00+00:00,1.0,1.0,1,1
2024-07-01 00:00:00+00:00,1.0,1.0,5,3
