url_path,views_total,views_unique
/CSAFE-ISU/handwriter,50,26
/CSAFE-ISU/handwriter/issues,14,4
/CSAFE-ISU/handwriter/tree/master/R,9,2
/CSAFE-ISU/handwriter/tree/master/data,5,1
/CSAFE-ISU/handwriter/tree/master/examples/example_template/data/model_docs,4,2
/CSAFE-ISU/handwriter/tree/master,3,2
/CSAFE-ISU/handwriter/tree/master/examples/example_template/data,3,2
/CSAFE-ISU/handwriter/tree/master/tools,3,2
/CSAFE-ISU/handwriter/tree/master/examples/example_template/data/template_docs,3,1
/CSAFE-ISU/handwriter/blob/master/DESCRIPTION,2,2
