url_path,views_total,views_unique
/CSAFE-ISU/handwriter,32,16
/CSAFE-ISU/handwriter/tree/master/tests,5,2
/CSAFE-ISU/handwriter/blob/master/handwriter.Rproj,4,1
/CSAFE-ISU/handwriter/tree/master/inst,4,1
/CSAFE-ISU/handwriter/tree/master/inst/python,4,1
/CSAFE-ISU/handwriter/tree/master/docs,3,2
/CSAFE-ISU/handwriter/tree/master/examples,3,1
/CSAFE-ISU/handwriter/tree/master/R,3,1
/CSAFE-ISU/handwriter/blob/master/docs/howto.html,2,1
/CSAFE-ISU/handwriter/blob/master/inst/python/word_separation.py,2,1
