url_path,views_total,views_unique
/CSAFE-ISU/handwriter,47,25
/CSAFE-ISU/handwriter/tree/b62ce460f353a41b9b943776a3dfc6b42081cced/inst/extdata/example_images/template_docs,20,1
/CSAFE-ISU/handwriter/tree/master/examples,19,2
/CSAFE-ISU/handwriter/tree/master/R,11,2
/CSAFE-ISU/handwriter/tree/master,10,1
/CSAFE-ISU/handwriter/blob/master/handwriter.Rproj,9,1
/CSAFE-ISU/handwriter/issues,8,7
/CSAFE-ISU/handwriter/tree/master/data,8,2
/CSAFE-ISU/handwriter/blob/master/README.md,7,2
/CSAFE-ISU/handwriter/tree/master/data-raw,6,2
