url_path,views_total,views_unique
/CSAFE-ISU/handwriter,35,26
/CSAFE-ISU/handwriter/commits/master,6,1
/CSAFE-ISU/handwriter/issues,5,2
/CSAFE-ISU/handwriter/tree/1be26487d36e9826aad5583fe1743223895a906b/inst/handwriter,4,1
/CSAFE-ISU/handwriter/blob/master/examples/example_template/data/questioned_docs/w0030_s03_pWOZ_r01.png,3,1
/CSAFE-ISU/handwriter/blob/master/examples/example_template/data/template_graphs/problems.txt,3,1
/CSAFE-ISU/handwriter/blob/master/examples/example_template/data/template_graphs/w0124_s01_pLND_r01_proclist.rds,3,1
/CSAFE-ISU/handwriter/tree/1be26487d36e9826aad5583fe1743223895a906b/inst/handwriter/server,3,1
/CSAFE-ISU/handwriter/tree/master/examples/example_template/data/questioned_docs,3,1
/CSAFE-ISU/handwriter/issues/225,2,2
