url_path,views_total,views_unique
/CSAFE-ISU/handwriter,72,22
/CSAFE-ISU/handwriter/actions,21,2
/CSAFE-ISU/handwriter/issues,11,5
/CSAFE-ISU/handwriter/actions/workflows/R-CMD-check.yaml,8,2
/CSAFE-ISU/handwriter/actions/workflows/R-CMD-check_windows.yaml,8,1
/CSAFE-ISU/handwriter/actions/workflows/R-CMD-check-macos.yaml,3,2
/CSAFE-ISU/handwriter/blob/master/.github/workflows/R-CMD-check-macos.yaml,2,2
/CSAFE-ISU/handwriter/issues/116,2,2
/CSAFE-ISU/handwriter/issues/204,2,2
/CSAFE-ISU/handwriter/issues/213,2,2
