time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-30 00:00:00+00:00,15,15,2,1
2026-05-31 00:00:00+00:00,1,1,1,1
2026-06-01 00:00:00+00:00,0,0,4,3
2026-06-02 00:00:00+00:00,11,10,2,2
2026-06-03 00:00:00+00:00,12,3,0,0
2026-06-04 00:00:00+00:00,25,19,1,1
2026-06-05 00:00:00+00:00,1,1,14,7
2026-06-06 00:00:00+00:00,0,0,2,2
2026-06-07 00:00:00+00:00,0,0,15,3
2026-06-08 00:00:00+00:00,1,1,5,5
2026-06-09 00:00:00+00:00,2,2,5,2
2026-06-10 00:00:00+00:00,3,3,3,1
2026-06-11 00:00:00+00:00,1,1,16,4
2026-06-12 00:00:00+00:00,1,1,5,5
