url_path,views_total,views_unique
/CSAFE-ISU/AOAS-2018-glass-manuscript/tree/master/glassdata,15,4
/CSAFE-ISU/AOAS-2018-glass-manuscript,10,8
/CSAFE-ISU/AOAS-2018-glass-manuscript/tree/master,9,3
/CSAFE-ISU/AOAS-2018-glass-manuscript/tree/master/glassdata/CompanyA-glass,7,4
/CSAFE-ISU/AOAS-2018-glass-manuscript/blob/master/glassdata/Description_for_glass_database.pdf,4,3
/CSAFE-ISU/AOAS-2018-glass-manuscript/blob/master/Glass_all_code.R,3,2
/CSAFE-ISU/AOAS-2018-glass-manuscript/blob/master/glassdata/CompanyA-glass/AA_pane.csv,3,2
/CSAFE-ISU/AOAS-2018-glass-manuscript/blob/master/Glass_all_function.R,1,1
/CSAFE-ISU/AOAS-2018-glass-manuscript/blob/master/glassdata/CompanyA-glass/AF_pane.csv,1,1
/CSAFE-ISU/AOAS-2018-glass-manuscript/commit/3f62cd908963cf2ef8d6bbf417ede0193b2f3a89,1,1
