url_path,views_total,views_unique
/CSAFE-ISU/AOAS-2018-glass-manuscript,7,4
/CSAFE-ISU/AOAS-2018-glass-manuscript/tree/master/glassdata,7,2
/CSAFE-ISU/AOAS-2018-glass-manuscript/tree/master,4,2
/CSAFE-ISU/AOAS-2018-glass-manuscript/blob/master/Glass_all_code.R,3,2
/CSAFE-ISU/AOAS-2018-glass-manuscript/tree/master/glassdata/CompanyA-glass,3,2
/CSAFE-ISU/AOAS-2018-glass-manuscript/blob/master/Glass_all_function.R,2,2
/CSAFE-ISU/AOAS-2018-glass-manuscript/blob/master/glassdata/CompanyA-glass/AA_pane.csv,2,2
/CSAFE-ISU/AOAS-2018-glass-manuscript/blob/master/glassdata/Description_for_glass_database.pdf,2,2
/CSAFE-ISU/AOAS-2018-glass-manuscript/blob/master/glassdata/CompanyB-glass/BA_pane.csv,1,1
/CSAFE-ISU/AOAS-2018-glass-manuscript/commits,1,1
