time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-23 00:00:00+00:00,,,14,2
2025-01-24 00:00:00+00:00,,,19,1
2025-01-25 00:00:00+00:00,,,1,1
2025-01-27 00:00:00+00:00,,,2,1
2025-01-30 00:00:00+00:00,,,3,1
2025-01-31 00:00:00+00:00,,,7,2
