url_path,views_total,views_unique
/CSAFE-ISU/AOAS-2018-glass-manuscript/tree/master/glassdata/CompanyA-glass,19,1
/CSAFE-ISU/AOAS-2018-glass-manuscript/tree/master/glassdata,15,2
/CSAFE-ISU/AOAS-2018-glass-manuscript/tree/master/glassdata/CompanyB-glass,10,1
/CSAFE-ISU/AOAS-2018-glass-manuscript/blob/master/Glass_all_code.R,6,1
/CSAFE-ISU/AOAS-2018-glass-manuscript/blob/master/glassdata/CompanyA-glass/AA_pane.csv,5,1
/CSAFE-ISU/AOAS-2018-glass-manuscript/blob/master/glassdata/Description_for_glass_database.pdf,5,1
/CSAFE-ISU/AOAS-2018-glass-manuscript/tree/master,4,1
/CSAFE-ISU/AOAS-2018-glass-manuscript,3,3
/CSAFE-ISU/AOAS-2018-glass-manuscript/blob/master/glassdata/CompanyA-glass/AJ_pane.csv,2,1
/CSAFE-ISU/AOAS-2018-glass-manuscript/blob/master/glassdata/CompanyA-glass/AX_pane.csv,2,1
